Month,PlannerName,Product,ProductFamily,Plant,Forecast_Tons,Resource,Scenario Version,Comment
46388,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,97.3326,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46388,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,112.7058,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46388,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,83.3973,North Reactor A-1200L Batch Cell,Lean,NRA-B
46419,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,94.6792,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46419,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,103.0918,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46419,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,75.3774,North Reactor A-1200L Batch Cell,Lean,NRA-B
46447,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,88.9601,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46447,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,101.9163,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46447,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,73.7584,North Reactor A-1200L Batch Cell,Lean,NRA-B
46478,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,87.7977,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46478,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,95.0217,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46478,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,71.1522,North Reactor A-1200L Batch Cell,Lean,NRA-B
46508,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,83.2946,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46508,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,104.0495,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46508,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,77.475,North Reactor A-1200L Batch Cell,Lean,NRA-B
46539,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,90.51,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46539,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,104.6014,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46539,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,76.3357,North Reactor A-1200L Batch Cell,Lean,NRA-B
46569,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,84.6554,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46569,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,96.3589,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46569,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,73.7282,North Reactor A-1200L Batch Cell,Lean,NRA-B
46600,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,85.3681,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46600,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,96.0697,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46600,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,70.648,North Reactor A-1200L Batch Cell,Lean,NRA-B
46631,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,73.8052,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46631,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,88.7241,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46631,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,59.5133,North Reactor A-1200L Batch Cell,Lean,NRA-B
46661,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,72.6538,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46661,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,82.4448,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46661,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,64.7227,North Reactor A-1200L Batch Cell,Lean,NRA-B
46692,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,78.4477,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46692,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,98.2103,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46692,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,72.4966,North Reactor A-1200L Batch Cell,Lean,NRA-B
46722,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,88.9233,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46722,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,106.8988,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46722,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,80.4843,North Reactor A-1200L Batch Cell,Lean,NRA-B
46753,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,98.6543,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46753,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,115.327,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46753,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,80.2255,North Reactor A-1200L Batch Cell,Lean,NRA-B
46784,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,92.5751,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46784,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,111.5554,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46784,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,74.5463,North Reactor A-1200L Batch Cell,Lean,NRA-B
46813,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,84.8008,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46813,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,100.2195,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46813,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,73.7318,North Reactor A-1200L Batch Cell,Lean,NRA-B
46844,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,86.077,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46844,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,97.8642,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46844,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,72.4282,North Reactor A-1200L Batch Cell,Lean,NRA-B
46874,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,93.1858,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46874,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,106.4408,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46874,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,70.4765,North Reactor A-1200L Batch Cell,Lean,NRA-B
46905,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,90.2196,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46905,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,102.0542,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46905,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,78.3132,North Reactor A-1200L Batch Cell,Lean,NRA-B
46935,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,86.1294,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46935,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,100.3512,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46935,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,76.8376,North Reactor A-1200L Batch Cell,Lean,NRA-B
46966,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,84.3242,North Reactor A-1200L Batch Cell,Baseline,NRA-B
46966,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,89.6082,North Reactor A-1200L Batch Cell,Expansion,NRA-B
46966,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,67.1124,North Reactor A-1200L Batch Cell,Lean,NRA-B
46997,NorthDesk,AUF-01,AURORA FLEX,PLT-A1,78.6085,North Reactor A-1200L Batch Cell,Baseline,NRA-B
