Month,PlannerName,Product,ProductFamily,Plant,Forecast_Tons,Resource,Scenario Version,Comment
46388,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,23.1819,Central Mix E-1500L,Baseline,CME
46388,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,26.709,Central Mix E-1500L,Expansion,CME
46388,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,20.0186,Central Mix E-1500L,Lean,CME
46419,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,20.5461,Central Mix E-1500L,Baseline,CME
46419,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,22.7606,Central Mix E-1500L,Expansion,CME
46419,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,17.4715,Central Mix E-1500L,Lean,CME
46447,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,17.8064,Central Mix E-1500L,Baseline,CME
46447,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,20.545,Central Mix E-1500L,Expansion,CME
46447,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,15.3925,Central Mix E-1500L,Lean,CME
46478,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,15.0803,Central Mix E-1500L,Baseline,CME
46478,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,17.6344,Central Mix E-1500L,Expansion,CME
46478,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,13.1743,Central Mix E-1500L,Lean,CME
46508,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,15.5357,Central Mix E-1500L,Baseline,CME
46508,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,16.5913,Central Mix E-1500L,Expansion,CME
46508,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,12.0943,Central Mix E-1500L,Lean,CME
46539,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,14.9265,Central Mix E-1500L,Baseline,CME
46539,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,17.7675,Central Mix E-1500L,Expansion,CME
