Month,PlannerName,Product,ProductFamily,Plant,Forecast_Tons,Resource,Scenario Version,Comment
46388,HarborDesk,TRC-01,TERRA CORE,PLT-C1,44.1463,South Line G-700L,Baseline,SLG
46388,HarborDesk,TRC-01,TERRA CORE,PLT-C1,50.0708,South Line G-700L,Expansion,SLG
46388,HarborDesk,TRC-01,TERRA CORE,PLT-C1,36.3424,South Line G-700L,Lean,SLG
46419,HarborDesk,TRC-01,TERRA CORE,PLT-C1,39.3978,South Line G-700L,Baseline,SLG
46419,HarborDesk,TRC-01,TERRA CORE,PLT-C1,47.0468,South Line G-700L,Expansion,SLG
46419,HarborDesk,TRC-01,TERRA CORE,PLT-C1,33.538,South Line G-700L,Lean,SLG
46447,HarborDesk,TRC-01,TERRA CORE,PLT-C1,36.6443,South Line G-700L,Baseline,SLG
46447,HarborDesk,TRC-01,TERRA CORE,PLT-C1,43.7343,South Line G-700L,Expansion,SLG
46447,HarborDesk,TRC-01,TERRA CORE,PLT-C1,31.5786,South Line G-700L,Lean,SLG
46478,HarborDesk,TRC-01,TERRA CORE,PLT-C1,38.0779,South Line G-700L,Baseline,SLG
46478,HarborDesk,TRC-01,TERRA CORE,PLT-C1,42.0153,South Line G-700L,Expansion,SLG
46478,HarborDesk,TRC-01,TERRA CORE,PLT-C1,31.1899,South Line G-700L,Lean,SLG
46508,HarborDesk,TRC-01,TERRA CORE,PLT-C1,41.3284,South Line G-700L,Baseline,SLG
46508,HarborDesk,TRC-01,TERRA CORE,PLT-C1,45.7493,South Line G-700L,Expansion,SLG
46508,HarborDesk,TRC-01,TERRA CORE,PLT-C1,32.4945,South Line G-700L,Lean,SLG
46539,HarborDesk,TRC-01,TERRA CORE,PLT-C1,45.683,South Line G-700L,Baseline,SLG
46539,HarborDesk,TRC-01,TERRA CORE,PLT-C1,50.2459,South Line G-700L,Expansion,SLG
46539,HarborDesk,TRC-01,TERRA CORE,PLT-C1,36.8407,South Line G-700L,Lean,SLG
46569,HarborDesk,TRC-01,TERRA CORE,PLT-C1,49.5054,South Line G-700L,Baseline,SLG
46569,HarborDesk,TRC-01,TERRA CORE,PLT-C1,56.2015,South Line G-700L,Expansion,SLG
46569,HarborDesk,TRC-01,TERRA CORE,PLT-C1,40.9981,South Line G-700L,Lean,SLG
46600,HarborDesk,TRC-01,TERRA CORE,PLT-C1,55.2227,South Line G-700L,Baseline,SLG
46600,HarborDesk,TRC-01,TERRA CORE,PLT-C1,62.6912,South Line G-700L,Expansion,SLG
