Month,PlannerName,Product,ProductFamily,Plant,Forecast_Tons,Resource,Scenario Version,Comment
46388,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,59.9923,Central Mix E-1500L,Baseline,CME
46388,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,70.7234,Central Mix E-1500L,Expansion,CME
46388,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,53.3234,Central Mix E-1500L,Lean,CME
46419,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,58.9125,Central Mix E-1500L,Baseline,CME
46419,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,66.2466,Central Mix E-1500L,Expansion,CME
46419,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,51.412,Central Mix E-1500L,Lean,CME
46447,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,59.8383,Central Mix E-1500L,Baseline,CME
46447,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,70.6632,Central Mix E-1500L,Expansion,CME
46447,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,53.253,Central Mix E-1500L,Lean,CME
46478,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,57.5714,Central Mix E-1500L,Baseline,CME
46478,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,69.0915,Central Mix E-1500L,Expansion,CME
46478,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,51.907,Central Mix E-1500L,Lean,CME
46508,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,62.0454,Central Mix E-1500L,Baseline,CME
46508,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,66.774,Central Mix E-1500L,Expansion,CME
46508,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,48.7071,Central Mix E-1500L,Lean,CME
46539,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,53.1402,Central Mix E-1500L,Baseline,CME
46539,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,65.1528,Central Mix E-1500L,Expansion,CME
46539,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,46.9586,Central Mix E-1500L,Lean,CME
46569,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,53.764,Central Mix E-1500L,Baseline,CME
46569,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,60.3356,Central Mix E-1500L,Expansion,CME
46569,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,42.7796,Central Mix E-1500L,Lean,CME
46600,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,51.9818,Central Mix E-1500L,Baseline,CME
46600,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,57.5129,Central Mix E-1500L,Expansion,CME
46600,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,42.5002,Central Mix E-1500L,Lean,CME
46631,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,52.263,Central Mix E-1500L,Baseline,CME
46631,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,64.26,Central Mix E-1500L,Expansion,CME
46631,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,45.2166,Central Mix E-1500L,Lean,CME
46661,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,60.0348,Central Mix E-1500L,Baseline,CME
46661,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,72.8483,Central Mix E-1500L,Expansion,CME
46661,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,52.8144,Central Mix E-1500L,Lean,CME
46692,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,57.7339,Central Mix E-1500L,Baseline,CME
46692,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,72.753,Central Mix E-1500L,Expansion,CME
46692,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,51.9269,Central Mix E-1500L,Lean,CME
46722,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,58.1257,Central Mix E-1500L,Baseline,CME
46722,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,76.9324,Central Mix E-1500L,Expansion,CME
46722,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,49.5394,Central Mix E-1500L,Lean,CME
46753,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,58.5537,Central Mix E-1500L,Baseline,CME
46753,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,72.479,Central Mix E-1500L,Expansion,CME
46753,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,49.7029,Central Mix E-1500L,Lean,CME
46784,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,58.5687,Central Mix E-1500L,Baseline,CME
46784,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,70.5541,Central Mix E-1500L,Expansion,CME
46784,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,51.153,Central Mix E-1500L,Lean,CME
46813,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,58.1241,Central Mix E-1500L,Baseline,CME
46813,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,69.6835,Central Mix E-1500L,Expansion,CME
46813,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,51.5426,Central Mix E-1500L,Lean,CME
46844,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,63.1289,Central Mix E-1500L,Baseline,CME
46844,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,75.5981,Central Mix E-1500L,Expansion,CME
46844,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,51.2621,Central Mix E-1500L,Lean,CME
46874,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,60.9783,Central Mix E-1500L,Baseline,CME
46874,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,73.5944,Central Mix E-1500L,Expansion,CME
46874,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,51.5207,Central Mix E-1500L,Lean,CME
46905,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,54.1399,Central Mix E-1500L,Baseline,CME
46905,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,62.3579,Central Mix E-1500L,Expansion,CME
46905,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,50.0936,Central Mix E-1500L,Lean,CME
46935,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,50.8797,Central Mix E-1500L,Baseline,CME
46935,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,60.6349,Central Mix E-1500L,Expansion,CME
46935,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,45.9467,Central Mix E-1500L,Lean,CME
46966,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,51.0137,Central Mix E-1500L,Baseline,CME
46966,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,63.1123,Central Mix E-1500L,Expansion,CME
46966,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,43.6053,Central Mix E-1500L,Lean,CME
46997,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,53.0356,Central Mix E-1500L,Baseline,CME
46997,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,61.2816,Central Mix E-1500L,Expansion,CME
46997,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,45.8846,Central Mix E-1500L,Lean,CME
47027,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,58.9747,Central Mix E-1500L,Baseline,CME
47027,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,72.2409,Central Mix E-1500L,Expansion,CME
47027,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,51.2262,Central Mix E-1500L,Lean,CME
47058,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,59.2833,Central Mix E-1500L,Baseline,CME
47058,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,76.0577,Central Mix E-1500L,Expansion,CME
47058,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,54.2396,Central Mix E-1500L,Lean,CME
47088,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,59.2944,Central Mix E-1500L,Baseline,CME
47088,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,69.5157,Central Mix E-1500L,Expansion,CME
47088,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,53.9217,Central Mix E-1500L,Lean,CME
47119,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,61.0398,Central Mix E-1500L,Baseline,CME
47119,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,70.2647,Central Mix E-1500L,Expansion,CME
47119,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,50.8681,Central Mix E-1500L,Lean,CME
47150,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,57.6765,Central Mix E-1500L,Baseline,CME
47150,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,72.5174,Central Mix E-1500L,Expansion,CME
47150,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,47.0621,Central Mix E-1500L,Lean,CME
47178,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,61.827,Central Mix E-1500L,Baseline,CME
47178,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,73.4248,Central Mix E-1500L,Expansion,CME
47178,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,49.1695,Central Mix E-1500L,Lean,CME
47209,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,57.2997,Central Mix E-1500L,Baseline,CME
47209,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,68.5039,Central Mix E-1500L,Expansion,CME
47209,VertexDesk,VCB-01,VECTOR BOND,PLT-G1,49.2507,Central Mix E-1500L,Lean,CME
